code,term
M80,Osteoporosis with pathological fracture
M800,Postmenopausal osteoporosis with pathological fracture
M8000,Postmenopausal osteoporosis with pathological fracture - Multiple sites
M8001,Postmenopausal osteoporosis with pathological fracture - Shoulder region
M8002,Postmenopausal osteoporosis with pathological fracture - Upper arm
M8003,Postmenopausal osteoporosis with pathological fracture - Forearm
M8004,Postmenopausal osteoporosis with pathological fracture - Hand
M8005,Postmenopausal osteoporosis with pathological fracture - Pelvic region and thigh
M8006,Postmenopausal osteoporosis with pathological fracture - Lower leg
M8007,Postmenopausal osteoporosis with pathological fracture - Ankle and foot
M8008,Postmenopausal osteoporosis with pathological fracture - Other
M8009,Postmenopausal osteoporosis with pathological fracture - Site unspecified
M801,Postoophorectomy osteoporosis with pathological fracture
M8010,Postoophorectomy osteoporosis with pathological fracture - Multiple sites
M8011,Postoophorectomy osteoporosis with pathological fracture - Shoulder region
M8012,Postoophorectomy osteoporosis with pathological fracture - Upper arm
M8013,Postoophorectomy osteoporosis with pathological fracture - Forearm
M8014,Postoophorectomy osteoporosis with pathological fracture - Hand
M8015,Postoophorectomy osteoporosis with pathological fracture - Pelvic region and thigh
M8016,Postoophorectomy osteoporosis with pathological fracture - Lower leg
M8017,Postoophorectomy osteoporosis with pathological fracture - Ankle and foot
M8018,Postoophorectomy osteoporosis with pathological fracture - Other
M8019,Postoophorectomy osteoporosis with pathological fracture - Site unspecified
M802,Osteoporosis of disuse with pathological fracture
M8020,Osteoporosis of disuse with pathological fracture - Multiple sites
M8021,Osteoporosis of disuse with pathological fracture - Shoulder region
M8022,Osteoporosis of disuse with pathological fracture - Upper arm
M8023,Osteoporosis of disuse with pathological fracture - Forearm
M8024,Osteoporosis of disuse with pathological fracture - Hand
M8025,Osteoporosis of disuse with pathological fracture - Pelvic region and thigh
M8026,Osteoporosis of disuse with pathological fracture - Lower leg
M8027,Osteoporosis of disuse with pathological fracture - Ankle and foot
M8028,Osteoporosis of disuse with pathological fracture - Other
M8029,Osteoporosis of disuse with pathological fracture - Site unspecified
M803,Postsurgical malabsorption osteoporosis with pathological fracture
M8030,Postsurgical malabsorption osteoporosis with pathological fracture - Multiple sites
M8031,Postsurgical malabsorption osteoporosis with pathological fracture - Shoulder region
M8032,Postsurgical malabsorption osteoporosis with pathological fracture - Upper arm
M8033,Postsurgical malabsorption osteoporosis with pathological fracture - Forearm
M8034,Postsurgical malabsorption osteoporosis with pathological fracture - Hand
M8035,Postsurgical malabsorption osteoporosis with pathological fracture - Pelvic region and thigh
M8036,Postsurgical malabsorption osteoporosis with pathological fracture - Lower leg
M8037,Postsurgical malabsorption osteoporosis with pathological fracture - Ankle and foot
M8038,Postsurgical malabsorption osteoporosis with pathological fracture - Other
M8039,Postsurgical malabsorption osteoporosis with pathological fracture - Site unspecified
M804,Drug-induced osteoporosis with pathological fracture
M8040,Drug-induced osteoporosis with pathological fracture - Multiple sites
M8041,Drug-induced osteoporosis with pathological fracture - Shoulder region
M8042,Drug-induced osteoporosis with pathological fracture - Upper arm
M8043,Drug-induced osteoporosis with pathological fracture - Forearm
M8044,Drug-induced osteoporosis with pathological fracture - Hand
M8045,Drug-induced osteoporosis with pathological fracture - Pelvic region and thigh
M8046,Drug-induced osteoporosis with pathological fracture - Lower leg
M8047,Drug-induced osteoporosis with pathological fracture - Ankle and foot
M8048,Drug-induced osteoporosis with pathological fracture - Other
M8049,Drug-induced osteoporosis with pathological fracture - Site unspecified
M805,Idiopathic osteoporosis with pathological fracture
M8050,Idiopathic osteoporosis with pathological fracture - Multiple sites
M8051,Idiopathic osteoporosis with pathological fracture - Shoulder region
M8052,Idiopathic osteoporosis with pathological fracture - Upper arm
M8053,Idiopathic osteoporosis with pathological fracture - Forearm
M8054,Idiopathic osteoporosis with pathological fracture - Hand
M8055,Idiopathic osteoporosis with pathological fracture - Pelvic region and thigh
M8056,Idiopathic osteoporosis with pathological fracture - Lower leg
M8057,Idiopathic osteoporosis with pathological fracture - Ankle and foot
M8058,Idiopathic osteoporosis with pathological fracture - Other
M8059,Idiopathic osteoporosis with pathological fracture - Site unspecified
M808,Other osteoporosis with pathological fracture
M8080,Other osteoporosis with pathological fracture - Multiple sites
M8081,Other osteoporosis with pathological fracture - Shoulder region
M8082,Other osteoporosis with pathological fracture - Upper arm
M8083,Other osteoporosis with pathological fracture - Forearm
M8084,Other osteoporosis with pathological fracture - Hand
M8085,Other osteoporosis with pathological fracture - Pelvic region and thigh
M8086,Other osteoporosis with pathological fracture - Lower leg
M8087,Other osteoporosis with pathological fracture - Ankle and foot
M8088,Other osteoporosis with pathological fracture - Other
M8089,Other osteoporosis with pathological fracture - Site unspecified
M809,Unspecified osteoporosis with pathological fracture
M8090,Unspecified osteoporosis with pathological fracture - Multiple sites
M8091,Unspecified osteoporosis with pathological fracture - Shoulder region
M8092,Unspecified osteoporosis with pathological fracture - Upper arm
M8093,Unspecified osteoporosis with pathological fracture - Forearm
M8094,Unspecified osteoporosis with pathological fracture - Hand
M8095,Unspecified osteoporosis with pathological fracture - Pelvic region and thigh
M8096,Unspecified osteoporosis with pathological fracture - Lower leg
M8097,Unspecified osteoporosis with pathological fracture - Ankle and foot
M8098,Unspecified osteoporosis with pathological fracture - Other
M8099,Unspecified osteoporosis with pathological fracture - Site unspecified
M81,Osteoporosis without pathological fracture
M810,Postmenopausal osteoporosis
M8100,Postmenopausal osteoporosis - Multiple sites
M8101,Postmenopausal osteoporosis - Shoulder region
M8102,Postmenopausal osteoporosis - Upper arm
M8103,Postmenopausal osteoporosis - Forearm
M8104,Postmenopausal osteoporosis - Hand
M8105,Postmenopausal osteoporosis - Pelvic region and thigh
M8106,Postmenopausal osteoporosis - Lower leg
M8107,Postmenopausal osteoporosis - Ankle and foot
M8108,Postmenopausal osteoporosis - Other
M8109,Postmenopausal osteoporosis - Site unspecified
M811,Postoophorectomy osteoporosis
M8110,Postoophorectomy osteoporosis - Multiple sites
M8111,Postoophorectomy osteoporosis - Shoulder region
M8112,Postoophorectomy osteoporosis - Upper arm
M8113,Postoophorectomy osteoporosis - Forearm
M8114,Postoophorectomy osteoporosis - Hand
M8115,Postoophorectomy osteoporosis - Pelvic region and thigh
M8116,Postoophorectomy osteoporosis - Lower leg
M8117,Postoophorectomy osteoporosis - Ankle and foot
M8118,Postoophorectomy osteoporosis - Other
M8119,Postoophorectomy osteoporosis - Site unspecified
M812,Osteoporosis of disuse
M8120,Osteoporosis of disuse - Multiple sites
M8121,Osteoporosis of disuse - Shoulder region
M8122,Osteoporosis of disuse - Upper arm
M8123,Osteoporosis of disuse - Forearm
M8124,Osteoporosis of disuse - Hand
M8125,Osteoporosis of disuse - Pelvic region and thigh
M8126,Osteoporosis of disuse - Lower leg
M8127,Osteoporosis of disuse - Ankle and foot
M8128,Osteoporosis of disuse - Other
M8129,Osteoporosis of disuse - Site unspecified
M813,Postsurgical malabsorption osteoporosis
M8130,Postsurgical malabsorption osteoporosis - Multiple sites
M8131,Postsurgical malabsorption osteoporosis - Shoulder region
M8132,Postsurgical malabsorption osteoporosis - Upper arm
M8133,Postsurgical malabsorption osteoporosis - Forearm
M8134,Postsurgical malabsorption osteoporosis - Hand
M8135,Postsurgical malabsorption osteoporosis - Pelvic region and thigh
M8136,Postsurgical malabsorption osteoporosis - Lower leg
M8137,Postsurgical malabsorption osteoporosis - Ankle and foot
M8138,Postsurgical malabsorption osteoporosis - Other
M8139,Postsurgical malabsorption osteoporosis - Site unspecified
M814,Drug-induced osteoporosis
M8140,Drug-induced osteoporosis - Multiple sites
M8141,Drug-induced osteoporosis - Shoulder region
M8142,Drug-induced osteoporosis - Upper arm
M8143,Drug-induced osteoporosis - Forearm
M8144,Drug-induced osteoporosis - Hand
M8145,Drug-induced osteoporosis - Pelvic region and thigh
M8146,Drug-induced osteoporosis - Lower leg
M8147,Drug-induced osteoporosis - Ankle and foot
M8148,Drug-induced osteoporosis - Other
M8149,Drug-induced osteoporosis - Site unspecified
